target,category,value
example.com,subdomain,mmdmamadian7.example.com
example.com,subdomain,terraform.example.com
example.com,subdomain,yutkov.example.com
example.com,subdomain,romanstrizhev.example.com
example.com,subdomain,shabeighuuql159.example.com
example.com,subdomain,sizoff123.example.com
example.com,subdomain,thehottech831.example.com
example.com,subdomain,vps-e8bafc5a.example.com
example.com,subdomain,id24600.example.com
example.com,subdomain,michelgbjr1.example.com
example.com,subdomain,ovkportal.example.com
example.com,subdomain,roy34.ren.example.com
example.com,subdomain,thehottech69.example.com
example.com,subdomain,backoffice.example.com
example.com,subdomain,sub120.example.com
example.com,subdomain,thehottech927.example.com
example.com,subdomain,147-255-227-0.w.example.com
example.com,subdomain,esia.example.com
example.com,subdomain,muskogee-untangle.example.com
example.com,subdomain,vps295167.example.com
example.com,subdomain,chief1.example.com
example.com,subdomain,contact60.example.com
example.com,subdomain,polukeevpavel2.example.com
example.com,subdomain,bodily06caves.example.com
example.com,subdomain,elyuri1125.example.com
example.com,subdomain,karangoraniya.example.com
example.com,subdomain,cosmo.s.frankfurt.example.com
example.com,subdomain,do-hcp-15.example.com
example.com,subdomain,themis.example.com
example.com,subdomain,denishm116.example.com
example.com,subdomain,evgeniazotova.example.com
example.com,subdomain,grishajoi.example.com
example.com,subdomain,zeninmichail.example.com
example.com,subdomain,akhvatov.example.com
example.com,subdomain,azen204833.example.com
example.com,subdomain,buzalt.example.com
example.com,subdomain,chaosye1561254709.example.com
example.com,subdomain,kems2.example.com
example.com,subdomain,mail.markp.example.com
example.com,subdomain,mrhaunglingyi4.example.com
example.com,subdomain,adkorolev.example.com
example.com,subdomain,id16726.example.com
example.com,subdomain,onduty14.example.com
example.com,subdomain,seafruit.example.com
example.com,subdomain,vds.sh.example.com
example.com,subdomain,vre.example.com
example.com,subdomain,yoshinoneko.example.com
example.com,subdomain,zl207226lz.example.com
example.com,subdomain,09-23.example.com
example.com,subdomain,debian12.example.com
example.com,subdomain,hestiacp.example.com
example.com,subdomain,ahterbahn1.example.com
example.com,subdomain,thehottech1369.example.com
example.com,subdomain,mainte01.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-217.example.com
example.com,subdomain,mikmxmv2.example.com
example.com,subdomain,roberto92.example.com
example.com,subdomain,vakulenko.s.example.com
example.com,subdomain,alisaleto081.example.com
example.com,subdomain,greensmoked.example.com
example.com,subdomain,gsm10.example.com
example.com,subdomain,p3t3rtm.example.com
example.com,subdomain,westdabrava19802.example.com
example.com,subdomain,darario20182.example.com
example.com,subdomain,fzhen.example.com
example.com,subdomain,klarabu7l.example.com
example.com,subdomain,pavel1.example.com
example.com,subdomain,samsonova.example.com
example.com,subdomain,cafe.example.com
example.com,subdomain,15183.example.com
example.com,subdomain,absolut5000.example.com
example.com,subdomain,daqiao85715.example.com
example.com,subdomain,serpo272.example.com
example.com,subdomain,test02050002.example.com
example.com,subdomain,teyd41.example.com
example.com,subdomain,dimon8282.example.com
example.com,subdomain,a1.example.com
example.com,subdomain,alinakulikova9721.example.com
example.com,subdomain,amethistos696.example.com
example.com,subdomain,developer150.example.com
example.com,subdomain,erinbaxtere3.example.com
example.com,subdomain,ip-190-89-220-35.example.com
example.com,subdomain,irn1lqjt23i.example.com
example.com,subdomain,sydneypools24feb.example.com
example.com,subdomain,vtv.example.com
example.com,subdomain,amrovanisho11.example.com
example.com,subdomain,sub21.example.com
example.com,subdomain,support86.example.com
example.com,subdomain,antonov.wt.example.com
example.com,subdomain,anatoly.kryzhanovsky.example.com
example.com,subdomain,infrastructure1.example.com
example.com,subdomain,rmnd.example.com
example.com,subdomain,salihk.example.com
example.com,subdomain,kitttosss.example.com
example.com,subdomain,vm174389.lxd.example.com
example.com,subdomain,romanonline2008.example.com
example.com,subdomain,venta2908.example.com
example.com,subdomain,man.example.com
example.com,subdomain,sofiyagri.example.com
example.com,subdomain,ec2amaz-i5nsose.example.com
example.com,subdomain,193964.example.com
example.com,subdomain,azen2048211.example.com
example.com,subdomain,bmix813.example.com
example.com,subdomain,orstul100.example.com
example.com,subdomain,dim-tourmaline.example.com
example.com,subdomain,freed0mcat.example.com
example.com,subdomain,nosg1basch1.example.com
example.com,subdomain,pavelok.example.com
example.com,subdomain,roberto93.example.com
example.com,subdomain,v-007.example.com
example.com,subdomain,asterix.xavier.example.com
example.com,subdomain,celestix.example.com
example.com,subdomain,site2.example.com
example.com,subdomain,antonneguliaev.example.com
example.com,subdomain,d4.example.com
example.com,subdomain,haef7.example.com
example.com,subdomain,mivan999web.example.com
